longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.99,37.53,25,5405,939,2831,923,5.0423,222200,<1H OCEAN
-122.35,37.93,28,1995,488,1182,439,2.3352,84300,NEAR BAY
-119.8,36.76,52,2224,418,832,406,2.3952,78400,INLAND
-119.78,36.74,15,1461,415,924,356,2.5045,90300,INLAND
-122.07,37.64,22,5861,1516,5436,1463,2.5158,134900,NEAR BAY
-122.07,37.88,11,1077,318,590,264,3.5536,387200,NEAR BAY
-122.14,37.73,52,2024,320,823,334,5.0,264700,NEAR BAY
-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY
-119.74,36.72,25,3972,842,2863,729,2.1304,58500,INLAND
-121.98,37.95,14,6290,854,2724,820,6.7371,267400,INLAND
-120.62,38.39,15,3750,691,1444,603,2.7399,134800,INLAND
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,NEAR BAY
-120.67,38.19,17,2967,611,1387,564,2.0417,92600,INLAND
-121.91,37.68,18,3631,547,1700,520,5.817,257300,<1H OCEAN
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-122.33,37.99,4,3999,1079,1591,887,3.911,112500,NEAR BAY
-122.11,37.66,29,2544,643,2332,603,3.2091,150000,NEAR BAY
-119.76,36.68,29,1243,312,836,277,1.8355,74200,INLAND
-122.29,37.87,46,1267,324,792,321,2.525,165900,NEAR BAY
-120.84,38.77,11,1013,188,410,158,4.825,184600,INLAND
-119.85,36.81,15,1743,310,1011,325,3.755,68000,INLAND
-119.99,38.88,17,2807,529,675,251,2.7457,107800,INLAND
-122.32,37.93,33,296,73,216,63,2.675,22500,NEAR BAY
-122.26,37.85,50,1120,283,697,264,2.125,140000,NEAR BAY
-122.08,37.7,25,3402,758,1645,710,3.4934,209900,NEAR BAY
-121.53,39.52,24,1028,185,471,186,2.9688,86400,INLAND
-122.1,37.66,34,656,115,342,112,4.6875,200600,NEAR BAY
-119.79,36.74,35,853,296,1228,289,1.0513,39600,INLAND
-122.25,37.79,39,461,129,381,123,1.6,112500,NEAR BAY
-122.25,37.87,52,1204,460,2016,477,0.949,350000,NEAR BAY
-121.96,38.02,35,2691,542,1409,505,3.016,95300,INLAND
-119.73,36.62,35,2080,365,1026,333,3.5781,92800,INLAND
-121.88,38.03,10,2769,619,1045,469,4.1111,158600,INLAND
-119.76,36.74,52,2137,448,1194,444,1.3029,69100,INLAND
-122.33,37.94,45,1226,279,590,260,2.8833,140400,NEAR BAY
-119.79,36.81,35,1877,328,1155,353,3.069,69600,INLAND
-121.97,37.52,26,3761,623,1776,613,4.5317,232600,<1H OCEAN
-121.89,39.71,26,2741,451,1217,437,3.7007,139200,INLAND
-122.2,37.84,35,2865,460,1072,443,7.4882,319300,NEAR BAY
-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY
-122.05,38.0,16,1085,217,356,232,2.3462,75000,NEAR BAY
-122.27,37.81,40,880,451,582,380,0.977,118800,NEAR BAY
